 ,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_weight_decay,state
0,0,1.8647165298461914,2025-01-20 05:06:25.164736,2025-01-20 05:11:47.327901,0 days 00:05:22.163165,4,2.9830567390614463e-05,0.0009254054456698,COMPLETE
1,1,2.347114324569702,2025-01-20 05:11:47.328129,2025-01-20 05:16:28.369122,0 days 00:04:41.040993,8,0.0006634415559266631,0.0018875056866200692,COMPLETE
2,2,2.797006845474243,2025-01-20 05:16:28.369356,2025-01-20 05:20:47.070896,0 days 00:04:18.701540,16,0.000110758104487748,0.0651295629452444,COMPLETE
3,3,2.988114833831787,2025-01-20 05:20:47.071124,2025-01-20 05:25:23.320578,0 days 00:04:36.249454,8,2.1066307659857478e-05,0.0017358822695264671,COMPLETE
4,4,3.1802191734313965,2025-01-20 05:25:23.320824,2025-01-20 05:29:42.963515,0 days 00:04:19.642691,16,0.0009893318051671003,0.0399779304456347,COMPLETE
5,5,3.4859366416931152,2025-01-20 05:29:42.963749,2025-01-20 05:35:05.828791,0 days 00:05:22.865042,4,0.0002769179205510635,0.0019558871646517535,COMPLETE
6,6,3.5503346920013428,2025-01-20 05:35:05.829015,2025-01-20 05:39:23.383037,0 days 00:04:17.554022,16,3.6540268891068346e-05,1.3205816401177093e-05,COMPLETE
7,7,3.6580631732940674,2025-01-20 05:39:23.383269,2025-01-20 05:44:45.359713,0 days 00:05:21.976444,4,6.79242455339167e-05,0.022743045488642165,COMPLETE
8,8,3.684936046600342,2025-01-20 05:44:45.359961,2025-01-20 05:49:21.181571,0 days 00:04:35.821610,8,0.0003305725033199908,0.001390254493290531,COMPLETE
9,9,3.4552319049835205,2025-01-20 05:49:21.181784,2025-01-20 05:54:42.924124,0 days 00:05:21.742340,4,0.0008650005419476052,5.046276293689402e-05,COMPLETE
10,10,3.5283873081207275,2025-01-20 05:54:42.924412,2025-01-20 06:00:04.859299,0 days 00:05:21.934887,4,1.3212980113531167e-05,0.00017518543334143433,COMPLETE
11,11,3.7989609241485596,2025-01-20 06:00:04.859525,2025-01-20 06:04:39.428959,0 days 00:04:34.569434,8,0.00011016138224600269,0.008258019322782886,COMPLETE
12,12,3.916745185852051,2025-01-20 06:04:39.429185,2025-01-20 06:09:12.912935,0 days 00:04:33.483750,8,3.694463532256504e-05,0.00036181683637534175,COMPLETE
13,13,3.7943265438079834,2025-01-20 06:09:12.913162,2025-01-20 06:14:34.773821,0 days 00:05:21.860659,4,0.0002582078326618194,0.005907467552050373,COMPLETE
14,14,3.9956912994384766,2025-01-20 06:14:34.774051,2025-01-20 06:19:08.668143,0 days 00:04:33.894092,8,5.3613318402567966e-05,0.0004209099221025272,COMPLETE
15,15,4.008070468902588,2025-01-20 06:19:08.668376,2025-01-20 06:24:28.054380,0 days 00:05:19.386004,4,1.057535842410516e-05,0.006838027596799115,COMPLETE
16,16,3.980569839477539,2025-01-20 06:24:28.054610,2025-01-20 06:29:03.632717,0 days 00:04:35.578107,8,0.0004940535004821192,0.00010268020625892788,COMPLETE
17,17,4.150089263916016,2025-01-20 06:29:03.632956,2025-01-20 06:33:37.897328,0 days 00:04:34.264372,8,0.00015952323291514326,0.0006039920022274958,COMPLETE
18,18,4.2232537269592285,2025-01-20 06:33:37.897536,2025-01-20 06:38:58.703601,0 days 00:05:20.806065,4,2.29985689865667e-05,0.0036132376728555604,COMPLETE
19,19,4.299079418182373,2025-01-20 06:38:58.703822,2025-01-20 06:43:17.534844,0 days 00:04:18.831022,16,6.876184836881221e-05,0.015279133710166377,COMPLETE
